NAME | DESCRIPTION
Overencumbered {1}{W} | Enchant opponent When Overencumbered enters, enchanted opponent creates a Clue token, a Food token, and a Junk token. At the beginning of combat on enchanted opponent’s turn, that player may pay {1} for each artifact they control. If they don’t, creatures can’t attack this combat.
Brotherhood Vertibird {3} | Flying Brotherhood Vertibird’s power is equal to the number of artifacts you control. Crew 2 (Tap any number of creatures you control with total power 2 or greater: This Vehicle becomes an artifact creature until end of turn.)
Paladin Danse, Steel Maverick {2}{W} | Vigilance, lifelink Exile Paladin Danse, Steel Maverick: Each creature you control that’s an artifact or Human gains indestructible until end of turn.
Overflowing Basin | {1}, {T}: Add {G}{U}.
Radstorm {3}{U} | Storm (When you cast this spell, copy it for each spell cast before it this turn.) Proliferate. (Choose any number of permanents and/or players, then give each another counter of each kind already there.)
Yes Man, Personal Securitron {2}{W} | {T}: Target opponent gains control of Yes Man, Personal Securitron. When they do, you draw two cards and put a quest counter on Yes Man. Activate only during your turn. Wild Card — When Yes Man leaves the battlefield, its owner creates a tapped 1/1 white Soldier creature token for each quest counter on it.
Fetid Pools | ({T}: Add {U} or {B}.) Fetid Pools enters tapped. Cycling {2} ({2}, Discard this card: Draw a card.)
Open the Vaults {4}{W}{W} | Return all artifact and enchantment cards from all graveyards to the battlefield under their owners’ control. (Auras with nothing to enchant remain in graveyards.)
Marcus, Mutant Mayor {3}{G}{U} | Vigilance, trample Whenever a creature you control deals combat damage to a player, draw a card if that creature has a +1/+1 counter on it. If it doesn’t, put a +1/+1 counter on it.
Skycloud Expanse | {1}, {T}: Add {W}{U}.
Kellogg, Dangerous Mind {1}{B}{R} | First strike, haste Whenever Kellogg, Dangerous Mind attacks, create a Treasure token. Sacrifice five Treasures: Gain control of target creature for as long as you control Kellogg. Activate only as a sorcery.
Piper Wright, Publick Reporter {1}{U} | Whenever Piper Wright deals combat damage to a player, investigate that many times. (To investigate, create a Clue token. It’s an artifact with “{2}, Sacrifice this artifact: Draw a card.”) Whenever you sacrifice a Clue, put a +1/+1 counter on target creature you control.
V.A.T.S. {2}{B}{B} | Split second (As long as this spell is on the stack, players can’t cast spells or activate abilities that aren’t mana abilities.) Choose any number of target creatures with equal toughness. Destroy the chosen creatures.
Scattered Groves | ({T}: Add {G} or {W}.) Scattered Groves enters tapped. Cycling {2} ({2}, Discard this card: Draw a card.)
Canopy Vista | ({T}: Add {G} or {W}.) Canopy Vista enters tapped unless you control two or more basic lands.
Yes Man, Personal Securitron {2}{W} | {T}: Target opponent gains control of Yes Man, Personal Securitron. When they do, you draw two cards and put a quest counter on Yes Man. Activate only during your turn. Wild Card — When Yes Man leaves the battlefield, its owner creates a tapped 1/1 white Soldier creature token for each quest counter on it.
Memorial to Glory | Memorial to Glory enters tapped. {T}: Add {W}. {3}{W}, {T}, Sacrifice Memorial to Glory: Create two 1/1 white Soldier creature tokens.
Feral Ghoul {2}{B} | Menace Whenever another creature you control dies, put a +1/+1 counter on Feral Ghoul. When Feral Ghoul dies, each opponent gets a number of rad counters equal to its power.
Entrapment Maneuver {3}{W} | Target player sacrifices an attacking creature. You create X 1/1 white Soldier creature tokens, where X is that creature’s toughness.
Screeching Scorchbeast {4}{B}{B} | Flying, menace Whenever Screeching Scorchbeast attacks, each player gets two rad counters. Whenever one or more nonland cards are milled, you may create that many 2/2 black Zombie Mutant creature tokens. Do this only once each turn.
Paladin Elizabeth Taggerdy {1}{R}{W} | Battalion — Whenever Paladin Elizabeth Taggerdy and at least two other creatures attack, draw a card, then you may put a creature card with mana value X or less from your hand onto the battlefield tapped and attacking, where X is Paladin Elizabeth Taggerdy’s power.
Caesar, Legion's Emperor {1}{R}{W}{B} | Whenever you attack, you may sacrifice another creature. When you do, choose two — • Create two 1/1 red and white Soldier creature tokens with haste that are tapped and attacking. • You draw a card and you lose 1 life. • Caesar, Legion’s Emperor deals damage equal to the number of creature tokens you control to target opponent.
V.A.T.S. {2}{B}{B} | Split second (As long as this spell is on the stack, players can’t cast spells or activate abilities that aren’t mana abilities.) Choose any number of target creatures with equal toughness. Destroy the chosen creatures.
Junktown | {T}: Add {C}. {4}{R}, {T}, Sacrifice Junktown: Create three Junk tokens. (They’re artifacts with “{T}, Sacrifice this artifact: Exile the top card of your library. You may play that card this turn. Activate only as a sorcery.”)
Ian the Reckless {1}{R} | Whenever Ian the Reckless attacks, if it’s modified, you may have it deal damage equal to its power to you and any target. (Equipment, Auras you control, and counters are modifications.)
Piper Wright, Publick Reporter {1}{U} | Whenever Piper Wright deals combat damage to a player, investigate that many times. (To investigate, create a Clue token. It’s an artifact with “{2}, Sacrifice this artifact: Draw a card.”) Whenever you sacrifice a Clue, put a +1/+1 counter on target creature you control.
Myriad Landscape | Myriad Landscape enters tapped. {T}: Add {C}. {2}, {T}, Sacrifice Myriad Landscape: Search your library for up to two basic land cards that share a land type, put them onto the battlefield tapped, then shuffle.
Grim Reaper's Sprint {4}{R} | Morbid — This spell costs {3} less to cast if a creature died this turn. Enchant creature When Grim Reaper’s Sprint enters, untap each creature you control. If it’s your main phase, there is an additional combat phase after this phase. Enchanted creature gets +2/+2 and has haste.
ED-E, Lonesome Eyebot {3} | Flying ED-E My Love — Whenever you attack, if the number of attacking creatures is greater than the number of quest counters on ED-E, Lonesome Eyebot, put a quest counter on it. {2}, Sacrifice ED-E: Draw a card, then draw an additional card for each quest counter on ED-E.
Single Combat {3}{W}{W} | Each player chooses a creature or planeswalker they control, then sacrifices the rest. Players can’t cast creature or planeswalker spells until the end of your next turn.
Struggle for Project Purity {3}{U} | As Struggle for Project Purity enters, choose Brotherhood or Enclave. • Brotherhood — At the beginning of your upkeep, each opponent draws a card. You draw a card for each card drawn this way. • Enclave — Whenever a player attacks you with one or more creatures, that player gets twice that many rad counters.
Tainted Wood | {T}: Add {C}. {T}: Add {B} or {G}. Activate only if you control a Swamp.
Synth Infiltrator {3}{U}{U} | Improvise (Your artifacts can help cast this spell. Each artifact you tap after you’re done activating mana abilities pays for {1}.) You may have Synth Infiltrator enter as a copy of any creature on the battlefield, except it’s a Synth artifact creature in addition to its other types.
Red Death, Shipwrecker {U}{R} | Alluring Eyes — {T}: Goad target creature an opponent controls. That player draws a card. You add {R}. (Until your next turn, that creature attacks each combat if able and attacks a player other than you if able.)
Glacial Fortress | Glacial Fortress enters tapped unless you control a Plains or an Island. {T}: Add {W} or {U}.
Glowing One {2}{G} | Deathtouch Whenever Glowing One deals combat damage to a player, they get four rad counters. Whenever a player mills a nonland card, you gain 1 life.
Red Death, Shipwrecker {U}{R} | Alluring Eyes — {T}: Goad target creature an opponent controls. That player draws a card. You add {R}. (Until your next turn, that creature attacks each combat if able and attacks a player other than you if able.)
Spire of Industry | {T}: Add {C}. {T}, Pay 1 life: Add one mana of any color. Activate only if you control an artifact.
Cathedral Acolyte {1}{G} | Each creature you control with a counter on it has ward {1}. (Whenever it becomes the target of a spell or ability an opponent controls, counter it unless that player pays {1}.) {T}: Put a +1/+1 counter on target creature that entered this turn.
Curie, Emergent Intelligence {1}{U} | Whenever Curie, Emergent Intelligence deals combat damage to a player, draw cards equal to its base power. {1}{U}, Exile another nontoken artifact creature you control: Curie becomes a copy of the exiled creature, except it has “Whenever this creature deals combat damage to a player, draw cards equal to its base power.”
Nuka-Nuke Launcher {2} | Equipped creature gets +3/+0 and has intimidate. (It can’t be blocked except by artifact creatures and/or creatures that share a color with it.) Whenever equipped creature attacks, until the end of defending player’s next turn, that player gets two rad counters whenever they cast a spell. Equip {3}
Pip-Boy 3000 {1} | Whenever equipped creature attacks, choose one — • Sort Inventory — Draw a card, then discard a card. • Pick a Perk — Put a +1/+1 counter on that creature. • Check Map — Untap up to two target lands. Equip {2}
Smoldering Marsh | ({T}: Add {B} or {R}.) Smoldering Marsh enters tapped unless you control two or more basic lands.
Nuka-Nuke Launcher {2} | Equipped creature gets +3/+0 and has intimidate. (It can’t be blocked except by artifact creatures and/or creatures that share a color with it.) Whenever equipped creature attacks, until the end of defending player’s next turn, that player gets two rad counters whenever they cast a spell. Equip {3}
Dogmeat, Ever Loyal {R}{G}{W} | When Dogmeat enters, mill five cards, then return an Aura or Equipment card from your graveyard to your hand. Whenever a creature you control that’s enchanted or equipped attacks, create a Junk token. (It’s an artifact with “{T}, Sacrifice this artifact: Exile the top card of your library. You may play that card this turn. Activate only as a sorcery.”)
Pre-War Formalwear {2}{W} | When Pre-War Formalwear enters, return target creature card with mana value 3 or less from your graveyard to the battlefield and attach Pre-War Formalwear to it. Equipped creature gets +2/+2 and has vigilance. Equip {3}
Liberty Prime, Recharged {2}{U}{R}{W} | Vigilance, trample, haste Whenever Liberty Prime, Recharged attacks or blocks, sacrifice it unless you pay {E}{E} (two energy counters). {2}, {T}, Sacrifice an artifact: You get {E}{E} and draw a card.
Mystic Monastery | Mystic Monastery enters tapped. {T}: Add {U}, {R}, or {W}.
Radstorm {3}{U} | Storm (When you cast this spell, copy it for each spell cast before it this turn.) Proliferate. (Choose any number of permanents and/or players, then give each another counter of each kind already there.)
Path to Exile {W} | Exile target creature. Its controller may search their library for a basic land card, put that card onto the battlefield tapped, then shuffle.
Hour of Reckoning {4}{W}{W}{W} | Convoke (Your creatures can help cast this spell. Each creature you tap while casting this spell pays for {1} or one mana of that creature’s color.) Destroy all nontoken creatures.
Mortuary Mire | Mortuary Mire enters tapped. When Mortuary Mire enters, you may put target creature card from your graveyard on top of your library. {T}: Add {B}.
Vault 12: The Necropolis {4}{B}{B} | (As this Saga enters and after your draw step, add a lore counter. Sacrifice after III.) I — Each player gets three rad counters. II — Create X 2/2 black Zombie Mutant creature tokens, where X is the total number of rad counters among players. III — Put two +1/+1 counters on each creature you control that’s a Zombie or Mutant.
Preston Garvey, Minuteman {2}{R}{G}{W} | At the beginning of combat on your turn, create a green Aura enchantment token named Settlement attached to up to one target land you control. It has enchant land and “Enchanted land has ‘{T}: Add one mana of any color.’” Whenever Preston Garvey, Minuteman attacks, untap each enchanted permanent you control.
Canyon Slough | ({T}: Add {B} or {R}.) Canyon Slough enters tapped. Cycling {2} ({2}, Discard this card: Draw a card.)
Nesting Grounds | {T}: Add {C}. {1}, {T}: Move a counter from target permanent you control onto another target permanent. Activate only as a sorcery.
Mariposa Military Base | You may have Mariposa Military Base enter tapped. If you do, you get two rad counters. {T}: Add {C}. {5}, {T}: Draw a card. This ability costs {1} less to activate for each rad counter you have.
Synth Infiltrator {3}{U}{U} | Improvise (Your artifacts can help cast this spell. Each artifact you tap after you’re done activating mana abilities pays for {1}.) You may have Synth Infiltrator enter as a copy of any creature on the battlefield, except it’s a Synth artifact creature in addition to its other types.
Mysterious Stranger {2}{R}{R} | Flash When Mysterious Stranger enters, for each graveyard with an instant or sorcery card in it, exile target instant or sorcery card from that graveyard. If two or more cards are exiled this way, choose one of them at random and copy it. You may cast the copy without paying its mana cost.
Mister Gutsy {2} | Whenever you cast an Aura or Equipment spell, put a +1/+1 counter on Mister Gutsy. When Mister Gutsy dies, create X Junk tokens, where X is the number of +1/+1 counters on it. (They’re artifacts with “{T}, Sacrifice this artifact: Exile the top card of your library. You may play that card this turn. Activate only as a sorcery.”)
Junk Jet {1}{R} | When Junk Jet enters, create a Junk token. (It’s an artifact with “{T}, Sacrifice this artifact: Exile the top card of your library. You may play that card this turn. Activate only as a sorcery.”) {3}, Sacrifice another artifact: Double equipped creature’s power until end of turn. Equip {1}
Swords to Plowshares {W} | Exile target creature. Its controller gains life equal to its power.
Sunscorched Divide | {1}, {T}: Add {R}{W}.
The Wise Mothman {1}{B}{G}{U} | Flying Whenever The Wise Mothman enters or attacks, each player gets a rad counter. Whenever one or more nonland cards are milled, put a +1/+1 counter on each of up to X target creatures, where X is the number of nonland cards milled this way.
Watchful Radstag {2}{G} | Evolve (Whenever a creature you control enters, if that creature has greater power or toughness than this creature, put a +1/+1 counter on this creature.) Whenever Watchful Radstag evolves, create a token that’s a copy of it.
Scavenger Grounds | {T}: Add {C}. {2}, {T}, Sacrifice a Desert: Exile all graveyards.
The Master, Transcendent {1}{B}{G}{U} | When The Master, Transcendent enters, target player gets two rad counters. {T}: Put target creature card in a graveyard that was milled this turn onto the battlefield under your control. It’s a green Mutant with base power and toughness 3/3. (It loses its other colors and creature types.)
Gunner Conscript {1}{G} | Trample Gunner Conscript gets +1/+1 for each Aura and Equipment attached to it. When Gunner Conscript dies, if it was enchanted, create a Junk token. When Gunner Conscript dies, if it was equipped, create a Junk token.
Curie, Emergent Intelligence {1}{U} | Whenever Curie, Emergent Intelligence deals combat damage to a player, draw cards equal to its base power. {1}{U}, Exile another nontoken artifact creature you control: Curie becomes a copy of the exiled creature, except it has “Whenever this creature deals combat damage to a player, draw cards equal to its base power.”
Rex, Cyber-Hound {1}{W}{U} | Whenever Rex, Cyber-Hound deals combat damage to a player, they mill two cards and you get {E}{E} (two energy counters). Pay {E}{E}: Choose target creature card in a graveyard. Exile it with a brain counter on it. Activate only as a sorcery. Rex has all activated abilities of all cards in exile with brain counters on them.
Temple of Abandon | Temple of Abandon enters tapped. When Temple of Abandon enters, scry 1. {T}: Add {R} or {G}.
Super Mutant Scavenger {4}{G} | Trample When Super Mutant Scavenger enters or dies, return up to one target Aura or Equipment card from your graveyard to your hand.
Hinterland Harbor | Hinterland Harbor enters tapped unless you control a Forest or an Island. {T}: Add {G} or {U}.
Dr. Madison Li {U}{R}{W} | Whenever you cast an artifact spell, you get {E} (an energy counter). {T}, Pay {E}: Target creature gets +1/+0 and gains trample and haste until end of turn. {T}, Pay {E}{E}{E}: Draw a card. {T}, Pay {E}{E}{E}{E}{E}: Return target artifact card from your graveyard to the battlefield tapped.
Alpha Deathclaw {4}{B}{G} | Menace, trample When Alpha Deathclaw enters or becomes monstrous, destroy target permanent. {5}{B}{G}: Monstrosity 4. (If this creature isn’t monstrous, put four +1/+1 counters on it and it becomes monstrous.)
Recon Craft Theta {4} | Flying When Recon Craft Theta enters, create a 0/0 blue Alien creature token. Put a +1/+1 counter on it. Whenever Recon Craft Theta attacks, proliferate. (Choose any number of permanents and/or players, then give each another counter of each kind already there.) Crew 2
Rex, Cyber-Hound {1}{W}{U} | Whenever Rex, Cyber-Hound deals combat damage to a player, they mill two cards and you get {E}{E} (two energy counters). Pay {E}{E}: Choose target creature card in a graveyard. Exile it with a brain counter on it. Activate only as a sorcery. Rex has all activated abilities of all cards in exile with brain counters on them.
Radstorm {3}{U} | Storm (When you cast this spell, copy it for each spell cast before it this turn.) Proliferate. (Choose any number of permanents and/or players, then give each another counter of each kind already there.)
James, Wandering Dad {2}{U} | {T}: Add {C}{C}. Spend this mana only to activate abilities.
Sulfur Falls | Sulfur Falls enters tapped unless you control an Island or a Mountain. {T}: Add {U} or {R}.
Desolate Mire | {1}, {T}: Add {W}{B}.
Vexing Radgull {1}{U} | Flying Whenever Vexing Radgull deals combat damage to a player, that player gets two rad counters if they don’t have any rad counters. Otherwise, proliferate. (Choose any number of permanents and/or players, then give each another counter of each kind already there.)
Pip-Boy 3000 {1} | Whenever equipped creature attacks, choose one — • Sort Inventory — Draw a card, then discard a card. • Pick a Perk — Put a +1/+1 counter on that creature. • Check Map — Untap up to two target lands. Equip {2}
Impassioned Orator {1}{W} | Whenever another creature you control enters, you gain 1 life.
Agent Frank Horrigan {5}{B}{G} | Trample Agent Frank Horrigan has indestructible as long as it attacked this turn. Whenever Agent Frank Horrigan enters or attacks, proliferate twice. (To proliferate, choose any number of permanents and/or players, then give each another counter of each kind already there.)
MacCready, Lamplight Mayor {W}{B} | Whenever a creature you control with power 2 or less attacks, it gains skulk until end of turn. (It can’t be blocked by creatures with greater power.) Whenever a creature with power 4 or greater attacks you, its controller loses 2 life and you gain 2 life.
Gemrazer {3}{G} Toxic Sheepsquatch | Mutate {1}{G}{G} (If you cast this spell for its mutate cost, put it over or under target non-Human creature you own. They mutate into the creature on top plus all abilities from under it.) Reach, trample Whenever this creature mutates, destroy target artifact or enchantment an opponent controls.
Wasteland Raider {2}{B}{B} | Squad {2} (As an additional cost to cast this spell, you may pay {2} any number of times. When this creature enters, create that many tokens that are copies of it.) When Wasteland Raider enters, each player sacrifices a creature.
Opulent Palace | Opulent Palace enters tapped. {T}: Add {B}, {G}, or {U}.
Puresteel Paladin {W}{W} | Whenever an Equipment you control enters, you may draw a card. Metalcraft — Equipment you control have equip {0} as long as you control three or more artifacts.
Mossfire Valley | {1}, {T}: Add {R}{G}.
T-45 Power Armor {2} | When T-45 Power Armor enters, you get {E}{E} (two energy counters). Equipped creature gets +3/+3 and doesn’t untap during its controller’s untap step. At the beginning of your upkeep, you may pay {E}. If you do, untap equipped creature, then put your choice of a menace, trample, or lifelink counter on it. Equip {3}
Nomad Outpost | Nomad Outpost enters tapped. {T}: Add {R}, {W}, or {B}.
Overflowing Basin | {1}, {T}: Add {G}{U}.
Cinder Glade | ({T}: Add {R} or {G}.) Cinder Glade enters tapped unless you control two or more basic lands.
Viridescent Bog | {1}, {T}: Add {B}{G}.
Temple of Enlightenment | Temple of Enlightenment enters tapped. When Temple of Enlightenment enters, scry 1. {T}: Add {W} or {U}.
Butch DeLoria, Tunnel Snake {1}{B} | Menace (This creature can’t be blocked except by two or more creatures.) Tunnel Snakes Rule! — Whenever Butch DeLoria, Tunnel Snake attacks, it gets +1/+1 until end of turn for each other Rogue and/or Snake you control. {1}{B}: Put a menace counter on another target creature. It becomes a Rogue in addition to its other types.
Watchful Radstag {2}{G} | Evolve (Whenever a creature you control enters, if that creature has greater power or toughness than this creature, put a +1/+1 counter on this creature.) Whenever Watchful Radstag evolves, create a token that’s a copy of it.
Valorous Stance {1}{W} | Choose one — • Target creature gains indestructible until end of turn. (Damage and effects that say “destroy” don’t destroy it.) • Destroy target creature with toughness 4 or greater.
Ferrous Lake | {1}, {T}: Add {U}{R}.
The Prydwen, Steel Flagship {4}{W}{W} | Flying Whenever another nontoken artifact enters under your control, create a 2/2 white Human Knight creature token with “This creature gets +2/+2 as long as an artifact entered the battlefield under your control this turn.” Crew 2
Well Rested {1}{G} | Enchant creature Enchanted creature has “Whenever this creature becomes untapped, put two +1/+1 counters on it, then you gain 2 life and draw a card. This ability triggers only once each turn.”
Robobrain War Mind {3}{U} | Robobrain War Mind’s power is equal to the number of cards in your hand. When Robobrain War Mind enters, you get an amount of {E} (energy counters) equal to the number of artifact creatures you control. Whenever Robobrain War Mind attacks, you may pay {E}{E}{E}. If you do, draw a card.
Shadowblood Ridge | {1}, {T}: Add {B}{R}.
Megaton's Fate {5}{R} | Choose one — • Disarm — Destroy target artifact. Create four Treasure tokens. • Detonate — Megaton’s Fate deals 8 damage to each creature. Each player gets four rad counters.
James, Wandering Dad {2}{U} | {T}: Add {C}{C}. Spend this mana only to activate abilities.
Temple of Deceit | Temple of Deceit enters tapped. When Temple of Deceit enters, scry 1. {T}: Add {U} or {B}.
Harold and Bob, First Numens {2}{G} | Vigilance, reach When Harold and Bob, First Numens dies, if it was a creature, return it to the battlefield. It’s an Aura enchantment with enchant Forest you control and “Enchanted Forest has ‘{T}: Add three mana of any one color. You get two rad counters.’” Harold and Bob loses all other abilities.
Moira Brown, Guide Author {1}{R}{W} | When Moira Brown, Guide Author enters, create a colorless Equipment artifact token named Wasteland Survival Guide with “Equipped creature gets +1/+1 for each quest counter among permanents you control” and equip {1}. Whenever you attack, put a quest counter on target nonland permanent you control.
Hullbreaker Horror {5}{U}{U} Prime Mirelurk Queen | Flash This spell can’t be countered. Whenever you cast a spell, choose up to one — • Return target spell you don’t control to its owner’s hand. • Return target nonland permanent to its owner’s hand.
Fraying Sanity {2}{U} | Enchant player At the beginning of each end step, enchanted player mills X cards, where X is the number of cards put into their graveyard from anywhere this turn.
Sentinel Sarah Lyons {3}{R}{W} | Haste As long as an artifact entered the battlefield under your control this turn, creatures you control get +2/+2. Battalion — Whenever Sentinel Sarah Lyons and at least two other creatures attack, Sentinel Sarah Lyons deals damage equal to the number of artifacts you control to target player.
Temple of Mystery | Temple of Mystery enters tapped. When Temple of Mystery enters, scry 1. {T}: Add {G} or {U}.
Tato Farmer {2}{G} | Landfall — Whenever a land you control enters, you may get two rad counters. {T}: Put target land card in a graveyard that was milled this turn onto the battlefield under your control tapped.
Inventory Management {R}{W} | Split second (As long as this spell is on the stack, players can’t cast spells or activate abilities that aren’t mana abilities.) For each Aura and Equipment you control, you may attach it to a creature you control.
Armory Paladin {1}{R}{W} | Trample Whenever you cast an Aura or Equipment spell, exile the top card of your library. You may play that card until the end of your next turn.
Irrigated Farmland | ({T}: Add {W} or {U}.) Irrigated Farmland enters tapped. Cycling {2} ({2}, Discard this card: Draw a card.)
HELIOS One | {T}: Add {C}. {1}, {T}: You get {E} (an energy counter). {3}, {T}, Pay X {E}, Sacrifice HELIOS One: Destroy target nonland permanent with mana value X. Activate only as a sorcery.
Sentinel Sarah Lyons {3}{R}{W} | Haste As long as an artifact entered the battlefield under your control this turn, creatures you control get +2/+2. Battalion — Whenever Sentinel Sarah Lyons and at least two other creatures attack, Sentinel Sarah Lyons deals damage equal to the number of artifacts you control to target player.
T-45 Power Armor {2} | When T-45 Power Armor enters, you get {E}{E} (two energy counters). Equipped creature gets +3/+3 and doesn’t untap during its controller’s untap step. At the beginning of your upkeep, you may pay {E}. If you do, untap equipped creature, then put your choice of a menace, trample, or lifelink counter on it. Equip {3}
Arcade Gannon {2}{W}{U} | {T}: Draw a card, then discard a card. Put a quest counter on Arcade Gannon. For Auld Lang Syne — Once during each of your turns, you may cast an artifact or Human spell from your graveyard with mana value less than or equal to the number of quest counters on Arcade Gannon.
Atomize {2}{B}{G} | Destroy target nonland permanent. Proliferate. (Choose any number of permanents and/or players, then give each another counter of each kind already there.)
Robobrain War Mind {3}{U} | Robobrain War Mind’s power is equal to the number of cards in your hand. When Robobrain War Mind enters, you get an amount of {E} (energy counters) equal to the number of artifact creatures you control. Whenever Robobrain War Mind attacks, you may pay {E}{E}{E}. If you do, draw a card.
All That Glitters {1}{W} | Enchant creature Enchanted creature gets +1/+1 for each artifact and/or enchantment you control.
Prairie Stream | ({T}: Add {W} or {U}.) Prairie Stream enters tapped unless you control two or more basic lands.
Diamond City | Diamond City enters with a shield counter on it. (If it would be dealt damage or destroyed, remove a shield counter from it instead.) {T}: Add {C}. {T}: Move a shield counter from Diamond City onto target creature. Activate only if two or more creatures entered the battlefield under your control this turn.
Recon Craft Theta {4} | Flying When Recon Craft Theta enters, create a 0/0 blue Alien creature token. Put a +1/+1 counter on it. Whenever Recon Craft Theta attacks, proliferate. (Choose any number of permanents and/or players, then give each another counter of each kind already there.) Crew 2
Sungrass Prairie | {1}, {T}: Add {G}{W}.
Jason Bright, Glowing Prophet {2}{U} | Whenever a Zombie or Mutant you control dies, if its power was different from its base power, draw a card. Come Fly With Me — {2}, Sacrifice a creature: Put a +1/+1 counter on target creature you control. It gains flying until end of turn.
Captain of the Watch {4}{W}{W} | Vigilance (Attacking doesn’t cause this creature to tap.) Other Soldier creatures you control get +1/+1 and have vigilance. When Captain of the Watch enters, create three 1/1 white Soldier creature tokens.
Bloatfly Swarm {3}{B} | Flying Bloatfly Swarm enters with five +1/+1 counters on it. If damage would be dealt to Bloatfly Swarm while it has a +1/+1 counter on it, prevent that damage, remove that many +1/+1 counters from it, then give each player a rad counter for each +1/+1 counter removed this way.
Glimmer of Genius {3}{U} | Scry 2, then draw two cards. You get {E}{E} (two energy counters).
Hancock, Ghoulish Mayor {2}{B} | Each other creature you control that’s a Zombie or Mutant gets +X/+X, where X is the number of counters on Hancock, Ghoulish Mayor. Undying (When this creature dies, if it had no +1/+1 counters on it, return it to the battlefield under its owner’s control with a +1/+1 counter on it.)
Temple of Plenty | Temple of Plenty enters tapped. When Temple of Plenty enters, scry 1. {T}: Add {G} or {W}.
Almost Perfect {4}{G}{W} | Enchant creature Enchanted creature has base power and toughness 9/10 and has indestructible.
Junktown | {T}: Add {C}. {4}{R}, {T}, Sacrifice Junktown: Create three Junk tokens. (They’re artifacts with “{T}, Sacrifice this artifact: Exile the top card of your library. You may play that card this turn. Activate only as a sorcery.”)
Intangible Virtue {1}{W} | Creature tokens you control get +1/+1 and have vigilance.
Marcus, Mutant Mayor {3}{G}{U} | Vigilance, trample Whenever a creature you control deals combat damage to a player, draw a card if that creature has a +1/+1 counter on it. If it doesn’t, put a +1/+1 counter on it.
Walking Ballista {X}{X} Assaultron Invader | Walking Ballista enters with X +1/+1 counters on it. {4}: Put a +1/+1 counter on Walking Ballista. Remove a +1/+1 counter from Walking Ballista: It deals 1 damage to any target.
Austere Command {4}{W}{W} | Choose two — • Destroy all artifacts. • Destroy all enchantments. • Destroy all creatures with mana value 3 or less. • Destroy all creatures with mana value 4 or greater.
Acquired Mutation {2}{R} | Enchant creature Enchanted creature gets +2/+2 and is goaded. (It attacks each combat if able and attacks a player other than you if able.) Whenever enchanted creature attacks, defending player gets two rad counters.
Boomer Scrapper {1}{B}{R} | Whenever Boomer Scrapper enters or attacks, you lose 1 life and create a Junk token. (It’s an artifact with “{T}, Sacrifice this artifact: Exile the top card of your library. You may play that card this turn. Activate only as a sorcery.”) Whenever a token you control leaves the battlefield, put a +1/+1 counter on Boomer Scrapper.
Desolate Mire | {1}, {T}: Add {W}{B}.
Captain of the Watch {4}{W}{W} | Vigilance (Attacking doesn’t cause this creature to tap.) Other Soldier creatures you control get +1/+1 and have vigilance. When Captain of the Watch enters, create three 1/1 white Soldier creature tokens.
Secure the Wastes {X}{W} | Create X 1/1 white Warrior creature tokens.
Razortide Bridge | Razortide Bridge enters tapped. Indestructible {T}: Add {W} or {U}.
Roadside Reliquary | {T}: Add {C}. {2}, {T}, Sacrifice Roadside Reliquary: Draw a card if you control an artifact. Draw a card if you control an enchantment.
Silverbluff Bridge | Silverbluff Bridge enters tapped. Indestructible {T}: Add {U} or {R}.
Alpha Deathclaw {4}{B}{G} | Menace, trample When Alpha Deathclaw enters or becomes monstrous, destroy target permanent. {5}{B}{G}: Monstrosity 4. (If this creature isn’t monstrous, put four +1/+1 counters on it and it becomes monstrous.)
Clifftop Retreat | Clifftop Retreat enters tapped unless you control a Mountain or a Plains. {T}: Add {R} or {W}.
Cait, Cage Brawler {R}{G} | During your turn, Cait, Cage Brawler has indestructible. Whenever Cait attacks, you and defending player each draw a card, then discard a card. Put two +1/+1 counters on Cait if you discarded the card with the highest mana value among those cards or tied for highest.
Feral Ghoul {2}{B} | Menace Whenever another creature you control dies, put a +1/+1 counter on Feral Ghoul. When Feral Ghoul dies, each opponent gets a number of rad counters equal to its power.
Cass, Hand of Vengeance {2}{R}{W} | Vigilance Whenever Cass or another creature you control dies, if it was enchanted or equipped, return any number of Aura cards that were attached to it from your graveyard to the battlefield attached to target creature, then attach any number of Equipment that were attached to it to that creature.
Temple of Epiphany | Temple of Epiphany enters tapped. When Temple of Epiphany enters, scry 1. {T}: Add {U} or {R}.
Inexorable Tide {3}{U}{U} | Whenever you cast a spell, proliferate. (Choose any number of permanents and/or players, then give each another counter of each kind already there.)
Temple of Silence | Temple of Silence enters tapped. When Temple of Silence enters, scry 1. {T}: Add {W} or {B}.
Whirler Rogue {2}{U}{U} | When Whirler Rogue enters, create two 1/1 colorless Thopter artifact creature tokens with flying. Tap two untapped artifacts you control: Target creature can’t be blocked this turn.
Shaun, Father of Synths {3}{U}{R} | Whenever you attack, you may create a tapped and attacking token that’s a copy of target attacking legendary creature you control other than Shaun, except it’s not legendary and it’s a Synth artifact creature in addition to its other types. When Shaun leaves the battlefield, exile all Synth tokens you control.
Lily Bowen, Raging Grandma {3}{G} | Vigilance Lily Bowen, Raging Grandma enters with two +1/+1 counters on it. At the beginning of your upkeep, double the number of +1/+1 counters on Lily Bowen if its power is 16 or less. Otherwise, remove all but one +1/+1 counter from it, then you gain 1 life for each +1/+1 counter removed this way.
